Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,km,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs
Comprehensive,Diesel,1461 cc,2013.0,Diesel,SUV,35500.0,Manual,1,Nissan,Nissan Terrano,18.0,Grey,4.0,CRDi,Yes,4331.0,2000.0,1671.0,2673.0,5 Speed,FWD,5.0,Power,tubeless,5.0,475.0,20.45,DOHC,No,5.2,Kolkata,3.5
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,10000.0,Automatic,1,Maruti,Maruti Swift,16.0,Others,4.0,MPFi,No,3840.0,1735.0,1530.0,2450.0,5,FWD,5.0,Power,tubeless,5.0,268.0,22.0,DOHC,No,4.8,Kolkata,5.25
Comprehensive,Diesel,1186 cc,2017.0,Diesel,Hatchback,43000.0,Manual,2,Hyundai,Hyundai Grand i10,15.0,White,3.0,CRDi,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,24.0,DOHC,No,4.8,Kolkata,3.85
Comprehensive,CNG,998 cc,2021.0,Cng,Hatchback,34144.0,Manual,1,Maruti,Maruti Wagon R,15.0,Silver,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,tubeless,5.0,341.0,32.52,DOHC,No,4.7,Kolkata,4.98
Third Party insurance,Petrol,1197 cc,2021.0,Petrol,Hatchback,6669.0,Manual,1,Hyundai,Hyundai Grand i10 Nios,14.0,Blue,4.0,Unknown,No,3805.0,1680.0,1520.0,2450.0,5-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,300.8603119300095,20.7,DOHC,Unknown,2.714684156229616,Kolkata,6.25
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,22618.0,Manual,1,Hyundai,Hyundai Grand i10,15.0,Orange,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Kolkata,4.94
Comprehensive,CNG,998 cc,2019.0,Cng,Hatchback,27042.0,Manual,1,Maruti,Maruti Wagon R,15.0,Blue,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,"tubeless tyres,radial",5.0,341.0,32.52,DOHC,No,4.7,Kolkata,4.62
Comprehensive,Petrol,1591 cc,2016.0,Petrol,SUV,38224.0,Manual,1,Hyundai,Hyundai Creta,17.0,Black,4.0,MPFi,No,4270.0,1780.0,1630.0,2590.0,6 Speed,FWD,5.0,Power,tubeless,5.0,400.0,13.0,DOHC,No,5.3,Kolkata,7.1
Comprehensive,Petrol,1497 cc,2018.0,Petrol,Sedan,23379.0,Automatic,1,Honda,Honda City,16.0,Silver,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,CVT,FWD,5.0,Power,"tubeless,radial",4.0,510.0,18.0,SOHC,No,5.3,Kolkata,8.89
Comprehensive,Diesel,2143 cc,2018.0,Diesel,Sedan,47000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz CLA,17.0,Silver,4.0,CRDi,Yes,4630.0,2032.0,1432.0,2699.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,470.0,17.9,DOHC,No,5.5,Kolkata,20.99
Comprehensive,Petrol,796 cc,2019.0,Petrol,Hatchback,21388.0,Manual,1,Maruti,Maruti Alto 800,14.0,Red,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Kolkata,3.04
Comprehensive,Petrol,998 cc,2015.0,Petrol,Hatchback,23005.0,Manual,1,Maruti,Maruti Wagon R,13.0,Silver,3.0,MPFI,No,3595.0,1475.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,4.0,227.2505102465558,18.9,DOHC,No,4.6,Kolkata,3.08
Comprehensive,Petrol,1999 cc,2021.0,Petrol,Sedan,7308.0,Automatic,1,Hyundai,Hyundai Elantra,16.0,Black,4.0,MPFI,No,4620.0,1800.0,1465.0,2700.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,420.0,14.62,DOHC,No,9.635926261499982,Kolkata,15.5
Third Party insurance,Diesel,1995 cc,2008.0,Diesel,Sedan,90000.0,Automatic,1,BMW,BMW 3 Series,16.0,Green,4.0,Unknown,Yes,4531.0,1817.0,1421.0,2760.0,6 Speed,RWD,5.0,Power,"tubeless,radial",4.0,460.0,13.2,DOHC,No,7.533754668255341,Kolkata,5.0
Third Party insurance,Petrol,1199 cc,2013.0,Petrol,Hatchback,60000.0,Manual,1,Chevrolet,Chevrolet Beat,14.0,Others,4.0,MPFI,No,3640.0,1595.0,1520.0,2375.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,170.0,18.6,DOHC,No,4.85,Kolkata,1.5
Third Party insurance,Petrol,1199 cc,2016.0,Petrol,Hatchback,60000.0,Manual,1,Volkswagen,Volkswagen Polo,15.0,Orange,3.0,MPFI,No,3971.0,1682.0,1469.0,2469.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,280.0,16.2,DOHC,No,4.97,Kolkata,3.95
Comprehensive,Petrol,1353 cc,2020.0,Petrol,SUV,36674.0,Automatic,1,Kia,Kia Seltos,17.0,Black,4.0,GDi,Yes,4315.0,1800.0,1645.0,2610.0,7-Speed DCT,FWD,5.0,Electric,"tubeless,radial",5.0,433.0,16.5,DOHC,Unknown,8.614012373969004,Kolkata,14.0
Third Party insurance,Petrol,998 cc,2019.0,Petrol,Hatchback,20000.0,Automatic,1,Maruti,Maruti Wagon R,15.0,Others,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,"tubeless tyres,radial",5.0,341.0,21.79,DOHC,No,4.7,Kolkata,4.5
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Sedan,17153.0,Manual,1,Maruti,Maruti Swift Dzire,14.0,Grey,4.0,MPFI,No,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,19.0,DOHC,No,4.8,Kolkata,4.95
Comprehensive,Diesel,2179 cc,2018.0,Diesel,SUV,39000.0,Manual,1,Mahindra,Mahindra XUV500,17.0,White,4.0,Direct Injection,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed,FWD,7.0,Power,tubeless,5.0,720.0,16.0,DOHC,No,5.6,Kolkata,10.78
Comprehensive,Petrol,998 cc,2020.0,Petrol,Hatchback,32165.0,Manual,1,Maruti,Maruti Wagon R,15.0,Orange,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,"tubeless tyres,radial",5.0,341.0,21.79,DOHC,No,4.7,Kolkata,4.6
Third Party insurance,Petrol,1598 cc,2018.0,Petrol,Sedan,27447.0,Manual,1,Skoda,Skoda Rapid,15.0,Grey,4.0,MPFI,No,4413.0,1699.0,1466.0,2552.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,460.0,15.41,DOHC,No,5.3,Kolkata,5.6
Comprehensive,Petrol,796 cc,2015.0,Petrol,Hatchback,26305.0,Manual,1,Maruti,Maruti Alto 800,14.0,Red,3.0,MPFi,No,3395.0,1490.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,177.0,22.74,DOHC,No,4.6,Kolkata,2.59
Third Party insurance,Petrol,796 cc,2008.0,Petrol,Hatchback,20000.0,Manual,1,Maruti,Maruti Alto,12.0,Others,3.0,MPFI,No,3495.0,1475.0,1460.0,2360.0,5 Speed,2WD,5.0,Manual,"tubeless,radial",5.0,207.3824148307126,19.7,SOHC,No,4.6,Kolkata,1.3
Comprehensive,Petrol,799 cc,2018.0,Petrol,Hatchback,17024.0,Manual,2,Datsun,Datsun RediGO,14.0,Grey,3.0,MPFi,No,3429.0,1560.0,1541.0,2348.0,5-Speed,2WD,5.0,Power,unknown,5.0,222.0,22.7,DOHC,No,4.7,Kolkata,2.72
Third Party insurance,Petrol,1498 cc,2020.0,Petrol,Sedan,9243.0,Automatic,1,Honda,Honda City,15.0,Red,4.0,Unknown,Unknown,4549.0,1748.0,1489.0,2600.0,CVT,FWD,5.0,Electric,"tubeless,radial",4.0,506.0,18.3,DOHC,Unknown,5.3,Kolkata,9.82
Comprehensive,Petrol,1598 cc,2017.0,Petrol,Sedan,100000.0,Manual,1,Skoda,Skoda Rapid,16.0,Silver,4.0,MPFI,No,4413.0,1699.0,1466.0,2552.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,460.0,15.41,DOHC,No,5.3,Kolkata,4.25
Comprehensive,Petrol,1198 cc,2017.0,Petrol,Hatchback,19280.0,Manual,1,Datsun,Datsun GO,15.0,Blue,3.0,Electronic Injection System,No,3785.0,1635.0,1490.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,265.0,20.63,DOHC,No,4.6,Kolkata,2.97
Third Party insurance,Petrol,998 cc,2019.0,Petrol,SUV,10000.0,Manual,1,Hyundai,Hyundai Venue,16.0,Others,3.0,GDi,Yes,3995.0,1770.0,1605.0,2500.0,6-Speed,FWD,5.0,Power,radial,5.0,350.0,18.27,Unknown,Unknown,4.6241043595744244,Kolkata,7.5
Comprehensive,Petrol,1197 cc,2021.0,Petrol,Sedan,9646.0,Manual,1,Maruti,Maruti Swift Dzire,15.0,Grey,4.0,Unknown,Unknown,3995.0,1735.0,1515.0,2450.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,378.0,22.41,DOHC,Unknown,4.8,Kolkata,6.58
Third Party insurance,Petrol,1462 cc,2020.0,Petrol,SUV,11344.0,Manual,1,Maruti,Maruti SX4 S Cross,16.0,Blue,4.0,Unknown,Unknown,4300.0,1785.0,1595.0,2600.0,5 Speed,FWD,5.0,Power,"radial,tubeless",5.0,375.0,18.55,DOHC,Unknown,5.5,Kolkata,7.5
Comprehensive,Petrol,1998 cc,2021.0,Petrol,Sedan,17899.0,Automatic,1,BMW,BMW 3 Series,18.0,Black,4.0,Direct Injection,Yes,4824.0,1811.0,1429.0,2810.0,8-Speed Steptronic Sport Automatic Transmission,RWD,5.0,Power,"tubeless,runflat",4.0,480.0,16.13,DOHC,No,5.5,Kolkata,46.0
Comprehensive,Petrol,999 cc,2021.0,Petrol,Hatchback,6000.0,Manual,0,Renault,Renault KWID,14.0,Outback Bronze,3.0,MPFi,No,3731.0,1579.0,1474.0,2422.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,279.0,23.01,DOHC,No,4.9,Kolkata,4.49
Third Party insurance,Petrol,1199 cc,2010.0,Petrol,Hatchback,80000.0,Manual,1,Chevrolet,Chevrolet Beat,14.0,Black,4.0,MPFI,No,3640.0,1595.0,1520.0,2375.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,170.0,18.6,DOHC,No,4.85,Kolkata,1.5
Third Party insurance,Diesel,1396 cc,2006.0,Diesel,Hatchback,50000.0,Manual,1,Tata,Tata Indica,13.0,Others,4.0,MPFI,Yes,3690.0,1665.0,1485.0,2400.0,5 Speed,FWD,5.0,Manual,"tubeless,radial",4.0,217.0,17.88,SOHC,No,4.9,Kolkata,997.03
Third Party insurance,Diesel,1396 cc,2014.0,Diesel,Hatchback,35000.0,Manual,2,Hyundai,Hyundai i20,16.0,Grey,4.0,CRDI,Yes,3985.0,1734.0,1505.0,2570.0,6 Speed,FWD,5.0,Power,tubeless,5.0,295.0,22.54,DOHC,No,5.2,Kolkata,4.5
Third Party insurance,Petrol,1373 cc,2015.0,Petrol,MUV,31244.0,Manual,2,Maruti,Maruti Ertiga,16.0,Golden,4.0,MPFI,No,4296.0,1695.0,1685.0,2740.0,5 Speed,FWD,7.0,Power,"tubeless,radial",5.0,135.0,17.5,DOHC,No,5.2,Kolkata,5.65
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,40000.0,Manual,1,Hyundai,Hyundai Grand i10,14.0,Grey,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Kolkata,4.1
Third Party insurance,Petrol,1199 cc,2012.0,Petrol,Hatchback,30000.0,Manual,2,Chevrolet,Chevrolet Beat,14.0,Green,4.0,MPFI,No,3640.0,1595.0,1520.0,2375.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,170.0,18.6,DOHC,No,4.85,Kolkata,1.7
Third Party insurance,Diesel,1396 cc,2012.0,Diesel,Sedan,60000.0,Manual,1,Tata,Tata Indigo,14.0,White,4.0,MPFI,No,3988.0,1620.0,1540.0,2450.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,380.0,23.03,DOHC ,No,5.0,Kolkata,1.78
Comprehensive,Diesel,2993 cc,2010.0,Diesel,Sedan,70000.0,Automatic,1,BMW,BMW 5 Series,17.0,Silver,4.0,CRDI,Yes,4841.0,1846.0,1468.0,2888.0,8 Speed Sport,RWD,5.0,Power,"tubeless,radial",4.0,520.0,16.73,undefined,No,11.4,Kolkata,8.95
Comprehensive,Petrol,814 cc,2015.0,Petrol,Hatchback,65440.0,Manual,1,Hyundai,Hyundai EON,14.0,Silver,3.0,MPFI,No,3495.0,1550.0,1500.0,2380.0,5 Speed,FWD,5.0,Power,tubeless,5.0,215.0,21.1,SOHC,No,4.6,Kolkata,2.39
Comprehensive,Petrol,1199 cc,2021.0,Petrol,Hatchback,35884.0,Manual,1,Tata,Tata Altroz,16.0,Blue,3.0,Unknown,No,3990.0,1755.0,1523.0,2501.0,5-Speed,Unknown,5.0,Electric,"tubeless,radial",5.0,345.0,19.33,Unknown,Unknown,5.0,Kolkata,6.52
Third Party insurance,Petrol,1798 cc,2015.0,Petrol,Sedan,77500.0,Manual,1,Toyota,Toyota Corolla Altis,15.0,Golden,4.0,EFI,No,4620.0,1776.0,1475.0,2700.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,470.0,14.28,DOHC,No,5.4,Kolkata,5.5
Comprehensive,Petrol,1798 cc,2015.0,Petrol,Sedan,59729.0,Manual,1,Toyota,Toyota Corolla Altis,15.0,Golden,4.0,EFI,No,4620.0,1776.0,1475.0,2700.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,470.0,14.28,DOHC,No,5.4,Kolkata,5.99
Comprehensive,Petrol,796 cc,2014.0,Petrol,Hatchback,64854.0,Manual,1,Maruti,Maruti Alto 800,14.0,Blue,3.0,MPFi,No,3395.0,1490.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,177.0,22.74,DOHC,No,4.6,Kolkata,1.99
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Sedan,29836.0,Manual,2,Maruti,Maruti Swift Dzire,15.0,Golden,4.0,MPFI,No,3995.0,1735.0,1515.0,2450.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,378.0,22.0,DOHC,No,4.8,Kolkata,5.75
Comprehensive,Diesel,1498 cc,2017.0,Diesel,Sedan,74094.0,Manual,1,Ford,Ford Aspire,14.0,Grey,4.0,Common Rail,Yes,3995.0,1695.0,1525.0,2491.0,5 Speed,FWD,5.0,Power,tubeless,4.0,359.0,25.83,SOHC,No,4.9,Kolkata,4.45
Comprehensive,Petrol,1197 cc,2021.0,Petrol,Hatchback,11590.0,Manual,1,Maruti,Maruti Swift,16.0,Blue,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Kolkata,6.2
Comprehensive,Petrol,1199 cc,2021.0,Petrol,Hatchback,9461.0,Manual,1,Honda,Honda Jazz,15.0,Brown,4.0,Unknown,Unknown,3989.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,354.0,17.1,SOHC,Unknown,5.1,Kolkata,7.06
Comprehensive,Diesel,1461 cc,2014.0,Diesel,Sedan,59006.0,Manual,3,Renault,Renault Scala,15.0,Silver,4.0,Direct Injection,Yes,4425.0,1695.0,1505.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,490.0,21.64,DOHC,No,5.3,Kolkata,3.63
Third Party insurance,Diesel,2393 cc,2022.0,Diesel,MUV,10000.0,Manual,1,Toyota,Toyota Innova Crysta,17.0,Others,4.0,CRDi,Yes,4735.0,1830.0,1795.0,2750.0,5 Speed,RWD,7.0,Power,"tubeless,radial",5.0,300.0,12.0,DOHC,Unknown,5.4,Kolkata,24.0
Third Party insurance,Diesel,1248 cc,2017.0,Diesel,Sedan,150000.0,Manual,2,Maruti,Maruti Swift Dzire,16.0,Others,4.0,CRDI,Yes,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,26.59,DOHC,No,4.8,Kolkata,4.92
Third Party insurance,Petrol,1198 cc,2016.0,Petrol,Sedan,40000.0,Manual,3,Honda,Honda Amaze,15.0,Gray,4.0,MPFi,No,3990.0,1680.0,1505.0,2405.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,400.0,17.8,SOHC,No,4.5,Kolkata,3.6
Third Party insurance,Diesel,1248 cc,2009.0,Diesel,Sedan,80000.0,Manual,2,Maruti,Maruti Swift Dzire,14.0,Others,4.0,CRDI,Yes,4160.0,1690.0,1530.0,2390.0,5 Speed,2WD,5.0,Power,"tubeless,radial",4.0,464.0,19.3,DOHC,No,4.7,Kolkata,2.8
Third Party insurance,Diesel,2982 cc,2016.0,Diesel,SUV,90000.0,Automatic,1,Toyota,Toyota Fortuner,17.0,Others,4.0,CRDi,Yes,4705.0,1840.0,1850.0,2750.0,5 Speed ,FWD,7.0,Power,"tubeless,radial",5.0,296.0,12.55,DOHC,No,5.6,Kolkata,16.4
Third Party insurance,Diesel,2179 cc,2012.0,Diesel,SUV,80000.0,Automatic,2,Land Rover,Land Rover Freelander 2,17.0,Black,4.0,CRDI,Yes,4500.0,2195.0,1740.0,2660.0,6 Speed,4WD,5.0,Power,"tubeless,radial",5.0,755.0,12.35,Unknown,No,5.7,Kolkata,9.5
Comprehensive,Diesel,2982 cc,2014.0,Diesel,SUV,73000.0,Manual,2,Toyota,Toyota Fortuner,17.0,White,4.0,CRDi,Yes,4705.0,1840.0,1850.0,2750.0,5 Speed,4WD,7.0,Power,"tubeless,radial",5.0,296.0,12.55,DOHC,No,5.9,Kolkata,12.99
Third Party insurance,Petrol,998 cc,2010.0,Petrol,Hatchback,150000.0,Manual,1,Maruti,Maruti Wagon R,13.0,Others,3.0,MPFI,No,3595.0,1475.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,227.2505102465558,18.9,DOHC,No,4.6,Kolkata,2.5
Third Party insurance,Diesel,2987 cc,2018.0,Diesel,Sedan,33600.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,17.0,Black,6.0,CRDI,Yes,5063.0,1860.0,1494.0,3079.0,9 Speed,RWD,5.0,Electric,"tubeless,radial",4.0,540.0,18.0,DOHC,No,6.0,Kolkata,39.5
Third Party insurance,Diesel,1364 cc,2011.0,Diesel,Hatchback,60000.0,Manual,3,Toyota,Toyota Etios Liva,16.0,Others,4.0,Unknown,Unknown,4105.649154589372,1731.5115109954831,1570.6731884057972,2548.67252318204,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,353.75699567271124,23.59,DOHC,Unknown,6.212418272494659,Kolkata,2.5
Third Party insurance,Petrol,1199 cc,2016.0,Petrol,Hatchback,82286.0,Manual,1,Honda,Honda Jazz,16.0,Others,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.7,SOHC,No,5.1,Kolkata,3.73
Third Party insurance,Petrol,1997 cc,2010.0,Petrol,SUV,59880.0,Manual,2,Honda,Honda CR-V,17.0,White,4.0,Unknown,Unknown,4105.649154589372,1731.5115109954831,1570.6731884057972,2548.67252318204,5 Speed,AWD,5.0,Power,"tubeless,radial",5.0,353.75699567271124,14.0,DOHC,Unknown,6.212418272494659,Kolkata,4.15
Comprehensive,Diesel,2393 cc,2021.0,Diesel,MUV,29841.0,Manual,1,Toyota,Toyota Innova Crysta,16.0,White,4.0,CRDi,Yes,4735.0,1830.0,1795.0,2750.0,5 Speed,RWD,8.0,Power,"tubeless,radial",5.0,300.0,12.0,DOHC,Unknown,5.4,Kolkata,22.0
Comprehensive,Petrol,998 cc,2022.0,Petrol,Hatchback,10518.0,Manual,1,Maruti,Maruti Celerio,15.0,Grey,3.0,Unknown,Unknown,3695.0,1655.0,1555.0,2435.0,5-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,313.0,25.24,DOHC,Unknown,2.3722284684443196,Kolkata,5.17
Comprehensive,Petrol,998 cc,2020.0,Petrol,Hatchback,6204.0,Manual,1,Maruti,Maruti Celerio,15.0,Grey,3.0,MPFi,No,3695.0,1600.0,1565.0,2425.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Kolkata,4.56
Third Party insurance,Diesel,1497 cc,2020.0,Diesel,MUV,20000.0,Manual,1,Mahindra,Mahindra Marazzo,17.0,Blue,4.0,Unknown,Unknown,4585.0,1866.0,1774.0,2760.0,6 Speed,FWD,8.0,Electric,"tubeless,radial",5.0,190.0,17.3,Unknown,Unknown,5.25,Kolkata,12.5
Third Party insurance,Petrol,1197 cc,2013.0,Petrol,Hatchback,23696.0,Manual,1,Hyundai,Hyundai i20,14.0,Brown,4.0,MPFI,No,3995.0,1710.0,1505.0,2525.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,340.10665818705604,18.5,DOHC,No,4.255793900204786,Kolkata,3.11
Third Party insurance,Diesel,2494 cc,2016.0,Diesel,MUV,112000.0,Manual,1,Toyota,Toyota Innova,16.0,White,4.0,CRDi,Yes,4585.0,1760.0,1760.0,2750.0,5 Speed,RWD,8.0,Power,"tubeless,radial",5.0,300.0,12.99,DOHC,No,5.4,Kolkata,9.5
Comprehensive,Petrol,796 cc,2020.0,Petrol,Hatchback,7569.0,Manual,1,Maruti,Maruti Alto 800,14.0,Blue,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Kolkata,3.05
Comprehensive,Petrol,1197 cc,2019.0,Petrol,Hatchback,18800.0,Automatic,1,Maruti,Maruti Swift,15.0,Blue,4.0,MPFi,No,3840.0,1735.0,1530.0,2450.0,5,FWD,5.0,Electric,tubeless,5.0,268.0,21.21,DOHC,No,4.8,Kolkata,5.83
Third Party insurance,Petrol,999 cc,2018.0,Petrol,Hatchback,32147.0,Automatic,1,Renault,Renault KWID,14.0,Red,3.0,MPFi,No,3679.0,1579.0,1478.0,2422.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,300.0,24.04,DOHC,No,4.9,Kolkata,2.5
Comprehensive,Petrol,1497 cc,2016.0,Petrol,SUV,27000.0,Manual,1,Ford,Ford Ecosport,16.0,White,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,352.0,17.0,DOHC,No,5.3,Kolkata,4.3
Third Party insurance,Petrol,1199 cc,2010.0,Petrol,Hatchback,35100.0,Manual,1,Chevrolet,Chevrolet Beat,14.0,Green,4.0,MPFI,No,3640.0,1595.0,1520.0,2375.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,170.0,18.6,DOHC,No,4.85,Kolkata,1.5
Third Party insurance,Petrol,1199 cc,2022.0,Petrol,SUV,20000.0,Manual,1,Tata,Tata Nexon,17.0,Others,3.0,Unknown,Unknown,3993.0,1811.0,1606.0,2498.0,6 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,350.0,17.33,DOHC,Unknown,5.1,Kolkata,6.5
Comprehensive,Petrol,1197 cc,2014.0,Petrol,Hatchback,31458.0,Manual,1,Hyundai,Hyundai Grand i10,14.0,Silver,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Kolkata,3.3
Third Party insurance,Petrol,1798 cc,2015.0,Petrol,Sedan,12000.0,Automatic,1,Audi,Audi A4,16.0,White,4.0,Direct Injection,Yes,4701.0,2040.0,1427.0,2808.0,8 Speed,FWD,5.0,Power,"tubeless,radial",4.0,480.0,15.64,DOHC,No,5.8,Kolkata,14.99
Third Party insurance,Petrol,1199 cc,2021.0,Petrol,Sedan,10000.0,Manual,1,Honda,Honda Amaze,15.0,Black,4.0,MPFi,No,3995.0,1695.0,1501.0,2470.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,420.0,18.6,SOHC,No,4.7,Kolkata,6.75
Comprehensive,Diesel,1248 cc,2018.0,Diesel,SUV,32000.0,Automatic,1,Maruti,Maruti Vitara Brezza,16.0,Cherry Red,4.0,CRDi,Yes,3995.0,1790.0,1640.0,2500.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,328.0,24.3,DOHC,No,5.2,Kolkata,7.75
Comprehensive,Diesel,1248 cc,2012.0,Diesel,Hatchback,37659.0,Manual,1,Maruti,Maruti Swift,14.0,Orange,4.0,CRDI,Yes,3850.0,1695.0,1530.0,2430.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,232.0,22.9,DOHC,No,4.8,Kolkata,2.8
Comprehensive,Petrol,1197 cc,2020.0,Petrol,Sedan,31479.0,Automatic,1,Maruti,Maruti Swift Dzire,16.0,Blue,4.0,Unknown,Unknown,3995.0,1735.0,1515.0,2450.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,378.0,22.61,DOHC,Unknown,4.8,Kolkata,5.88
Comprehensive,Petrol,796 cc,2019.0,Petrol,Hatchback,10998.0,Manual,1,Maruti,Maruti Alto 800,14.0,Silver,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Kolkata,3.29
Third Party insurance,Petrol,999 cc,2021.0,Petrol,Hatchback,10000.0,Automatic,1,Renault,Renault KWID,14.0,Gray,3.0,MPFi,No,3731.0,1579.0,1490.0,2422.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,279.0,22.0,DOHC,No,4.9,Kolkata,4.6
Comprehensive,CNG,998 cc,2021.0,Cng,Hatchback,27370.0,Manual,1,Maruti,Maruti Wagon R,15.0,White,3.0,MPFI,No,3655.0,1620.0,1675.0,2435.0,5 Speed,FWD,5.0,Power,"tubeless tyres,radial",5.0,341.0,32.52,DOHC,No,4.7,Kolkata,4.79
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,39714.0,Manual,1,Maruti,Maruti Swift,16.0,Silver,4.0,MPFI,No,3840.0,1735.0,1530.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,204.0,20.4,DOHC,No,4.8,Kolkata,3.8
Comprehensive,Petrol,814 cc,2015.0,Petrol,Hatchback,34000.0,Manual,1,Hyundai,Hyundai EON,14.0,Blue,3.0,MPFI,No,3495.0,1550.0,1500.0,2380.0,5 Speed,FWD,5.0,Power,tubeless,5.0,215.0,21.1,SOHC,No,4.6,Kolkata,2.35
